Account,total_trades,total_volume,avg_trade_size,total_pnl,avg_pnl,pnl_std,buy_ratio,win_rate,avg_fee,unique_coins,avg_fg_value,risk_adjusted_return,cluster,pca_x,pca_y
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,61697263.97,16159.57673389209,1600229.819979,419.1277684596647,4692.452328769463,0.4481403876375065,0.3596123624934521,1.9395789167103195,2,53.75405971712939,0.08931955811036993,1,4.4216330226546345,0.34556999658976084
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,12035487.66,1653.2263269230768,47885.320514,6.5776539167582415,134.07347277629353,0.41964285714285715,0.4427197802197802,0.37497773194093403,12,52.21346153846154,0.04906006968084803,0,-0.7596840275422035,-0.27123536854161884
0x271b280974205ca63b716753467d5a371de622ab,3809,33873440.42,8893.000897873459,-70436.191318,-18.49204287687057,542.1826592941622,0.4111315305854555,0.3019165135206091,2.436593029666579,8,39.40955631399317,-0.034106666009835765,0,0.047824602220428225,0.7521713730180132
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,6757022.1,507.6269326121253,132464.814554,9.951529904139434,113.26935264594304,0.5032679738562091,0.43858462925400044,0.16665670246043873,94,68.77432198933214,0.08785721531618436,2,-2.217974194579592,-1.1883530079772318
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,10166880.2,3138.894782340228,168658.004994,52.0710111126891,255.82909123366827,0.36400123494905834,0.5199135535659154,0.9596161537511578,49,61.6674899660389,0.203538271826673,2,-0.7257943215355744,-1.480306333416083
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,1409902.0,1729.9411042944785,-31203.599986,-38.28662574969325,558.7787526232372,0.2233128834355828,0.45521472392638035,0.18045983236809818,47,43.79754601226994,-0.0685183994021842,2,-0.3444798711721792,-1.9926559605644858
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,17193375.42,4790.5754862078575,14456.919335999997,4.0281190682641395,730.495483644371,0.4591808303148509,0.32766787405962666,0.40642438731401503,13,30.92616327667874,0.0055142285728698075,0,-0.07759675057047905,0.5074985752935383
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,1143896.46,3445.471265060241,53496.247243,161.13327482831323,1279.8557881354639,0.5120481927710844,0.4759036144578313,0.5309463130030121,11,65.8855421686747,0.12589955549840307,0,0.6145124056031618,-0.10997289832057468
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,1987527.6099999999,5189.367127937337,199505.592732,520.9023308929503,2228.336140282739,0.26370757180156656,0.2349869451697128,0.6996529738355091,10,53.39425587467363,0.23376290563902824,1,3.8649939437650103,-1.1099207414676173
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,2966109.22,2397.824753435732,416541.872341,336.735547567502,1649.4975803457908,0.24413904607922393,0.48423605497170574,0.6038859587712208,20,53.89894907033145,0.20414431132230626,1,2.095473370480432,-2.1564789940471876
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,4408828.9,517.5289235825802,103343.716161,12.130967972884141,88.29284150392282,0.47845991313534453,0.35344524005164923,0.14448251217066557,68,65.95480690221856,0.13739469436313437,2,-1.4911410826398674,-0.6160672749643736
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,39572949.25,9084.699093204776,677747.050643,155.58931373806246,855.3540027082513,0.4855371900826446,0.48622589531680444,1.842514323735078,12,42.36730945821855,0.18190049177934542,0,0.3570912189494611,0.1465759208263445
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,129672529.28,17098.171054852322,308975.869716,40.740489150316456,656.6936282172401,0.5501054852320675,0.3603639240506329,5.36978736853903,24,60.472573839662445,0.06203880683434793,0,-0.24291561259833835,1.543015435076625
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,420876556.36,34396.58028440667,840422.555216,68.68441935403726,639.4024436908079,0.5204315135665251,0.40119320039228507,6.245884512233573,4,45.983491337038245,0.10741970105333314,0,0.36035505332477513,2.7467871450515
0x6d6a4b953f202f8df5bed40692e7fd865318264a,975,728057.51,746.7256512820513,108731.216772,111.51919668923077,468.9959817825797,0.3723076923076923,0.4317948717948718,0.19162674557169232,17,50.012307692307694,0.23778284041019693,0,0.2063061324021115,-0.8712047323572112
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,1590,11474500.92,7216.667245283019,429355.565915,270.0349471163522,2525.2404372348287,0.37610062893081764,0.34591194968553457,0.9757467083584905,6,45.82641509433962,0.10693435093730877,1,2.527755396866162,-0.30694235345039866
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,1424,2962475.47,2080.390077247191,360539.510029,253.1878581664326,1494.128004157728,0.44452247191011235,0.30337078651685395,0.19768177258426964,26,50.03300561797753,0.1694552658553241,1,1.3784088757018975,-0.3496887721755945
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9893,25729497.24,2600.7780491256444,379095.406711,38.3195599627009,172.52077341762578,0.4982310724754877,0.8108763772364298,0.26233287594056404,98,62.944910542808046,0.22211562818548053,2,-2.608015870784461,-2.575098732073635
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,1559,5844484.45,3748.8675112251444,14900.443047,9.557692781911483,72.5611952371814,0.44323284156510584,0.45221295702373315,0.5004598479538165,7,27.763951250801796,0.13171906486201296,0,-0.5137466272645924,0.017593296098665934
0x8170715b3b381dffb7062c0298972d4727a0a63b,4601,10143758.13,2204.6855314062163,-167621.124781,-36.43145507085416,1647.7789842055993,0.49163225385785697,0.38274288198217776,0.3432700395392306,7,50.056726798522064,-0.022109430585084147,0,0.07048555236231023,0.4039904752610915
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1911,11999173.37,6279.002286760858,65513.657906,34.2823955552067,325.75560971336085,0.6043956043956044,0.33019361590790164,1.7712622807849294,10,53.02564102564103,0.10523961685685933,0,-0.43603700567073717,1.4369330839072785
0x8477e447846c758f5a675856001ea72298fd9cb5,14998,12304786.84,820.4285131350847,43917.008976,2.928191023869849,68.6130409480178,0.46432857714361914,0.26196826243499133,0.25286992235431394,94,64.20642752366982,0.0426768874169021,2,-1.8976354991020703,-0.7105259018591149
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,3052,10992355.74,3601.689298820446,126578.942134,41.47409637418087,220.3877348338997,0.6893840104849279,0.2853866317169069,0.9246260810157274,7,70.54390563564876,0.1881869533503703,0,-0.6894974255448425,1.944632722594084
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,15605,19868207.98,1273.1950003204101,106302.875256,6.81210350887536,68.2349036218229,0.6397308554950336,0.3457866068567767,0.14661681724474207,15,59.14745273950657,0.09983312274653397,0,-1.584534119148272,1.297329221659407
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,417,861809.4,2066.6892086330936,72846.484272,174.6918088057554,976.068751360001,0.37410071942446044,0.5731414868105515,0.4554868213669065,9,70.9832134292566,0.17897490167813418,0,0.6539096818325147,-1.2979030161936995
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,563,1677425.72,2979.4417761989343,67845.619531,120.50731710657195,474.8098365007934,0.5896980461811723,0.40852575488454707,0.9746523350088809,5,56.51687388987567,0.2538012228109571,0,-0.06500411831855717,0.7660586847114645
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,534,4448323.26,8330.193370786517,21758.831753,40.746875941947565,288.26612386189584,0.5692883895131086,0.32209737827715357,1.0145048866037452,5,35.09925093632959,0.14135159343755843,0,-0.15361310214702187,1.4795445547419286
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14733,56543565.23,3837.885375008484,2143382.597689,145.48174829898866,1374.0264020518678,0.4549650444580194,0.3371343243059798,1.0856796478531188,69,54.610941424014115,0.10587987835003546,2,-0.2511132636443933,-0.7417826979568779
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838,108877041.1,22504.555828854896,22488.500821,4.648305254443986,332.0834053908585,0.48945845390657294,0.4386109962794543,5.920457568210004,7,28.20008267879289,0.01399740299872251,0,-0.12192811104294943,1.637037990681643
0xbaaaf6571ab7d571043ff1e313a9609a10637864,21192,68036340.24,3210.472831257078,940163.80622,44.364090516232544,567.7627628499143,0.528265383163458,0.46758210645526616,0.40565806276986605,3,32.08012457531144,0.07813842932133258,0,-1.1042307074571405,0.49790880808747695
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,2641,20737391.71,7852.098337750852,220519.061853,83.49831952025748,1530.5250331047494,0.45172283226050736,0.32752745172283226,1.8073072640780008,26,44.08254449072321,0.05455534389455677,0,0.7203740503670537,0.27181458589973084
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,40184,74107810.44,1844.2118863229146,836080.553077,20.806304824731235,264.1238803160226,0.43333167429822816,0.428230141349791,0.3322939405970038,16,47.93149014533147,0.07877479612913689,2,-2.0341815957666833,-0.01632508413284963
